Term or Phrase,Date,Time,User,User Affiliation,Media Platform,Link to Post,Post Text,Screenshot,Image,Linked Media,Likes,Comments,Shares,Antisemitic (Y/N),Hateful,Violent,Offensive,Negative,Homophobic,Transphobic,Racist,Misogynistic,Xenophobic,Trope Classification,Primary Coder,Coder 2,Coder 3,Notes
Cabal,1/24/2023,,Anonymous,,Telegram,https://t.me/sourcedirectives/32059,PLAN G!! ACT LIKE WE FOUND CLASSIFIED DOCUMENTS IN ALL CABAL MEMBERS HOMES SLOWING DOWN FULL DISCLOSURE LIKE WE DIDN’T JUST EXECUTE THEM FOR THE SLOW ONES AKA SHEEPLE,Cabal_12,,,152,60,NA,N,0.349,0.921,0.51,0.974,0,0,0,0,0,,coder 1,coder 2,coder 3 ,"""sheeple"" , 1.3k Views"
Cabal,12/11/22,,Anonymous,,Telegram,https://t.me/StormNews7/153531,Dec eleven 2022 = 81: BEGINNING 81 Defcon one 81 Activate 81 Arrest 81 December eleven = 118: THE STORM 118 💥 The Awakening 118 Cyber pandemic 118 Scare event 118 Trumping 118 “We have it all” 118 11x8 = 88 GOD’S PLAN 88 12/11 <> 122: EVENTS BEGIN 122 💥 Staged event 122 A Revelation 122 SavioUr Q 122 The End Times 122 The end is near 122 Surrender 122 122 <> 221 Scare event necessary 221 12/11 <> 121: THE TEN DAYS 121 💥 Day of wrath 121 Apocalyptic 121 Babylon fallen 121 Quick trial 121 Revelation 121 Tiffany Blue 121 SECOND COMING 121 Yet to come 121 ❤️ Day 333 on the Julian: It’s always darkest before the dawn The world is a stage and we are actors America’s comeback starts right now Today is a good day to be a superhero I am here to stand for what is right The one forty fours are bein born Be the Second Coming of Jesus Christ Three three three = 168: Enough is enough 168 Rapture of evil 168 Changing of the Guard 168 11/29 on the Julian: JUDGEMENT DAY 129 💥 The Reckoning 129 Giant RED wave 129 Lady Justice 129 Pay for crime 129 Duck duck NUKE 129 Have faith in God 129 11/29 <> 229: THE HOUR IS UPON US 229 We enter the Storm 229 Sting of the Century 229 Donald Trump: the hammer 229 Federal Emergency Broadcast 229 The economic meltdown 229 Patriots stand ready 229 The force is with you 229 “Smooth transition” 229 10/11 on the Roman: THE START 111 💥 Time has come 111 Death of the Cabal 111 Wake up Neo 111 The credits 111 Do NOT panic 111 New Age begins 111 10/11 <> 102: ONE ONE ONE 102 Art of War 102 The game plan 102 World peace 102 God’s army 102 Born ready 102 ❤️,Cabal_13,,,14,0,NA,Y,0.235,0.901,0.46,0.302,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,
Cabal,12/11/22,,Anonymous,,Telegram,https://t.me/Smiley369/26277,Dec eleven 2022 = 81: BEGINNING 81 Defcon one 81 Activate 81 Arrest 81 December eleven = 118: THE STORM 118 💥 The Awakening 118 Cyber pandemic 118 Scare event 118 Trumping 118 “We have it all” 118 11x8 = 88 GOD’S PLAN 88 12/11 <> 122: EVENTS BEGIN 122 💥 Staged event 122 A Revelation 122 SavioUr Q 122 The End Times 122 The end is near 122 Surrender 122 122 <> 221 Scare event necessary 221 12/11 <> 121: THE TEN DAYS 121 💥 Day of wrath 121 Apocalyptic 121 Babylon fallen 121 Quick trial 121 Revelation 121 Tiffany Blue 121 SECOND COMING 121 Yet to come 121 ❤️ Day 333 on the Julian: It’s always darkest before the dawn The world is a stage and we are actors America’s comeback starts right now Today is a good day to be a superhero I am here to stand for what is right The one forty fours are bein born Be the Second Coming of Jesus Christ Three three three = 168: Enough is enough 168 Rapture of evil 168 Changing of the Guard 168 11/29 on the Julian: JUDGEMENT DAY 129 💥 The Reckoning 129 Giant RED wave 129 Lady Justice 129 Pay for crime 129 Duck duck NUKE 129 Have faith in God 129 11/29 <> 229: THE HOUR IS UPON US 229 We enter the Storm 229 Sting of the Century 229 Donald Trump: the hammer 229 Federal Emergency Broadcast 229 The economic meltdown 229 Patriots stand ready 229 The force is with you 229 “Smooth transition” 229 10/11 on the Roman: THE START 111 💥 Time has come 111 Death of the Cabal 111 Wake up Neo 111 The credits 111 Do NOT panic 111 New Age begins 111 10/11 <> 102: ONE ONE ONE 102 Art of War 102 The game plan 102 World peace 102 God’s army 102 Born ready 102 ❤️,Cabal_14,,,0,0,NA,Y,0.235,0.901,0.46,0.302,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,
Cabal,12/28/2022,,Anonymous,,Rumble,https://rumble.com/v22ligu-rep.-jamie-raskin-jan.-6-committee-report-reveals-real-villainy-but-real-he.html,"ARREST EVERY FBI, CIA, ATF, DHS, ALL OF THE CRIMINALS WITHIN OUR GOVERNMENT NOW!!!! WE ARE NOW A FREE COUNTRY UNTIL ALL OF THESE 3 LETTER GOVERNMENT AGENCIES ARE PURGED OF THE TREASONOUS CRIMINAL DEEP STATE CABAL TRAITORS OF THE UNITED STATES OF AMERICA!!!",Cabal_15,,,1,0,NA,N,0.197,0.961,0.471,0.91,0,0,0,0,0,,coder 1,coder 2,coder 3 ,"""deep state cabal"""
Cabal,1/19/2023,,Anonymous,,Rumble,https://rumble.com/v2653bk-the-kim-iversen-show-live-january-18-2023.html,EVERY MEMBER OF THE OBIDEN CABAL NEEDS TO BE EXECUTE ON SIGHT,Cabal_16,,,4,0,NA,Y,0.337,0.957,0.492,0.906,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,"""OBiden Cabal""; about WEF"
Cabal,12/12/22,,Anonymous,,Rumble,https://rumble.com/v206elk-biden-admin.-defends-criticism-of-not-including-paul-whelan-in-swap.html,The Biden cabal needs to be publicly executed. Period.,Cabal_17,,,6,1,NA,N,0.227,0.938,0.496,0.985,0,0,0,0,0,,coder 1,coder 2,coder 3 ,"""Biden Cabal"""
Cabal,01/08/23,,Anonymous,,Rumble,https://rumble.com/v24gag6-viva-and-barnes-are-back-first-sunday-stream-of-2023.html,"US CAPITOL 202 224 3121
 CALL YOUR REPS and DEMAND ILLEGALS ARE DEPORTED IMMEDIATELY!!!
 DEMAND IMPEACHMENT HEARINGS FOR THE BIDEN HARRIS OBAMA CRIMINAL CABAL FOR TREASON AND OTHER HIGH CRIMES, IMMEDIATELY !!!!
 DEMAND NOT ONE MORE DIME FOR UKRAINE!!!
 DEMAND THE ARREST OF FRAUD LIAR FAUCI NOW!!!!",Cabal_18,,,1,0,NA,N,0.199,0.938,0.48,0.933,0,0,0,0,1,,coder 1,coder 2,coder 3 ,""" Biden Harris Obama Cabal"""
Cabal,1/31/2023,,Anonymous,,Rumble,https://rumble.com/v27qpx0-zelenskiy-calls-for-russia-olympic-ban.html,Putin needs to just go in and ANNIHILATE the OBIDEN CABAL.,Cabal_19,,,1,0,NA,N,0.222,0.927,0.481,0.971,0,0,0,0,0,,coder 1,coder 2,coder 3 ,"""Obiden Cabal"""
Cabal,12/01/22,,Anonymous,,Rumble,https://rumble.com/v1yarqc-emerald-robinson-and-project-veritas-mario-balaban-discuss-latest-child-tra.html,Yep in the past true but today there is too many people who have been exposing their evil demonic cult so she may be the exception since there are now millions watching out for these heroic whistleblowers!! Conservatives need their own cabal against government hit squads!! Time to fight fire with fire =lawfully!,Cabal_20,,,2,0,NA,Y,0.261,0.912,0.51,0.918,0,0,0,0,0,"1, 8",coder 1,coder 2,coder 3 ,
Cabal,12/28/2022,,Anonymous,,Rumble,https://rumble.com/v22rlk2-live-with-twitters-next-ceo.html,The CIA is paid off to work with Cabal and the United nations needs takin out by Putin we need to fight against these scumbags,Cabal_21,,,1,0,NA,Y,0.658,0.91,0.531,0.96,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,
Cabal,12/02/22,,Anonymous,,Rumble,https://rumble.com/v1ygdr4-gov.-kristi-noem-warns-of-alarming-impact-of-vaccine-mandates-on-military-r.html,"Arrest the entire cabal and jab them every two months until they all die,,,",Cabal_22,,,1,0,NA,N,0.442,0.904,0.475,0.963,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Cabal,12/20/2022,,Anonymous,,Patriots,"https://communities.win/c/TheDonald/p/16ZXaCQmww/nunes-accuses-doj-of-illegally-spying-on-him-&-of-seeking-blackmail-material-during-russia-probe-after-bombshell-revelation-that-federal-prosecutors-used-grand-jury-subpoenas-5-years-ago-to-get-phone-&-email-records-of-his-top-investigators.-""""unprecedented-spying-in-modern-political-history.""""/c/4ToiCaqdpBr",I say prosecuted. John roberts and the whole cabal should be prosecuted,Cabal_23,,,14,2,NA,N,0.343,0.929,0.476,0.943,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Cabal,01/10/23,,Anonymous,,Patriots,https://communities.win/c/TheDonald/p/16ZqiGRdIN/finally-a-man-with-balls/c/4TpyZrM14Vj,I suppose it's better than nothing. What should happen is the entire obama cabal/clinton cabal should be put to death,Cabal_24,,,1,0,NA,N,0.371,0.893,0.501,0.983,0,0,0,0,0,,coder 1,coder 2,coder 3 ,"""obama cabal/clinton cabal"""
Cabal,1/25/2023,,Anonymous,,Minds,https://www.minds.com/newsfeed/1465054020719611915,"*411 - WW3 MARX'S COMMUNIST JEWISH NAZIWW3 = *FOR THERE IS NO EXCLUSION OF THE METHOD USED FOR YOUR COMPLETE MUTUAL ANNIHILATION .I.E.. EVEN TO INCLUDE YOUR SO-CALLED NUKESALL IS APPROVED THAT YOU USA/ZIONIST JEWS CABAL VERSES ALL OTHERS NOT YOU, IS FOR YOU TO COMPLETELY ANNIHILATE ONE ANOTHER, WITH NO EXCLUSIONS. THE SOONER THAT ALL OTHERS CONCERNED MAY FINALLY N ONCE AGAIN BE RID OF ALL AS YOU N THEN AUTHENTIC PEACE MAY SPREAD & THRIVE DUE TO YOUR MUTUAL ABSCENSE OF ALL THOSE LIKE YOU, THE BETTER ALL SHALL BE, BY THE SOONER YOU COMPLETE THAT, ADDITIONALLY N AS NEEDED, THE SOONER A NEWER REPLACEMENT OF THOSE AS YOU CAN BEGIN & THRIVE.",Cabal_25,,,0,0,0,Y,0.181,0.918,0.439,0.091,0,0,1,0,0,1,coder 1,coder 2,coder 3 ,"""*411 - WW3 MARX'S COMMUNIST JEWISH NAZI"", ""USA/Zionist Jews Cabal"""
Cabal,12/11/22,,Anonymous,,Minds,https://www.minds.com/newsfeed/1448675459293253652,"The Criminal Cabal's Plan using their Climate Change Hoax and created """"pandemics"""" to bring us there. The world needs to wake up and these criminals need to be DECIMATED.",Cabal_26,,,21,0,6,Y,0.302,0.892,0.554,0.672,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,"Seems Antisemitic - "" Criminial Cabal"""
Cabal,01/04/23,,Anonymous,,Minds,https://www.minds.com/newsfeed/1457354821332897812,"The orders remain the same, no matter what happens.1) Cabal Fall Calendar.2) Planet of Apes Fall Calendar.No precision, no accuracy, needed or required.Slaughter all, including women and children. Spare no one.",Cabal_27,,,0,0,0,N,0.263,0.873,0.453,0.987,0,0,0,0,0,,coder 1,coder 2,coder 3 ,"""Cabal Fall Calendar"""
Cabal,12/23/2022,,Anonymous,,GreatAwakening,https://communities.win/c/GreatAwakening/p/16ZXeuCE8e/you-are-watching-a-movie...-its-called-the-great-ukraine-hoax/c/4ToiDH2dZhp,"Ukraine is not a movie, it's the cabal defending their last stronghold, it's do or die for them.",Cabal_28,,,4,0,NA,Y,0.303,0.921,0.484,0.888,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,Antisemitism tied with Ukrainian efforts
Cabal,12/07/22,,Anonymous,,GreatAwakening,https://communities.win/c/GreatAwakening/p/16ZXHM50M8/happy-pearl-harbor-day-anons/c/4TogxOIpmsN,Courage and loss of innocent lives. Doesn’t discount their bravery but to honor their sacrifice we should root out the cabal that planned the war.,Cabal_29,,,7,0,NA,N,0.286,0.895,0.471,0.081,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Cabal,01/11/23,,Anonymous,,GreatAwakening,https://communities.win/c/GreatAwakening/p/16ZqiM7ssT/golden-globes-ratings-collapse:-only-5.3-million-viewers-–-show-seen-as-“boring-and-crude”/c/4TpyslSt1EW,Now is the time to crush the cabal.,Cabal_30,,,2,0,NA,N,0.244,0.887,0.473,0.939,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Cabal,1/17/2023,,Anonymous,,GETTR,https://www.gettr.com/comment/c1pd7gu7c2b,NUKE DAVOS full of globalists cabal enemies of humanity,Cabal_31,,,3,0,2,Y,0.297,0.971,0.529,0.951,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,Davos is WEF conference
Cabal,1/19/2023,,Anonymous,,GETTR,https://www.gettr.com/comment/c1phbgsc0b3,"The illegal us Corp of American Government must be eradicated closed permently all the cabal ,illuminate, wef, who, un , nato, nwo and its sub cults all must be arrested and fully prosecuted world wide door to door",Cabal_32,,,1,0,0,Y,0.4,0.971,0.487,0.907,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,"""Illuminate"", ""nwo"""
Cabal,1/14/2023,,Anonymous,,GETTR,https://www.gettr.com/comment/c1p5u0y0bc7,"Only civil war fixes treason by the cabal, wef, who, nwo, un, nato and crown, the us Corp of American Government all must be eradicated",Cabal_33,,,1,0,1,Y,0.331,0.966,0.469,0.927,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,
Cabal,1/30/2023,,Anonymous,,GETTR,https://www.gettr.com/post/p26rn282db7,Please Keep Striking Dear Putin!!! These AdrenoChrome Biolabs in Ukraine must be Destroyed or the Deep State Cabal will Keep Growing!!! AdrenoChrome is the Ultimate Food like blood for the Pedos Elite!!! Lets drain their blood burn and Starve them!!! The Pedo-Elite Without Adrenochrome is like them in Poverty!!!,Cabal_34,,,1,0,1,Y,0.31,0.964,0.473,0.798,0,0,0,0,0,"1, 8",coder 1,coder 2,coder 3 ,"""Deep State Cabal"", ""Pedos Elite""; New emerging trope connecting Jews with pedophelia"
Cabal,01/06/23,,Anonymous,,GETTR,https://www.gettr.com/comment/c1ofw3i2083,"@breitbartFeed @SteveBannon @mattgaetz @laurenboebert 
 
 
 McCarthy is lock step with the CABAL !!",Cabal_35,,,3,1,0,N,0.237,0.959,0.51,0.25,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Cabal,12/18/2022,,Anonymous,,GETTR,https://www.gettr.com/comment/c1mzd5m7f89,"To men of the USA time to take out the Globalists cabal and collaborators you have Guns , plan , unite, organise do SAVE Humanity from this EVIL",Cabal_36,,,1,0,1,Y,0.276,0.956,0.455,0.578,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,"""Globalist Cabal"""
Cabal,12/30/2022,,Anonymous,,GETTR,https://www.gettr.com/comment/c1nutsn40a9,"ð¤¬ALL fucking talk no ACTION we the people of this world as sick of the evil globalists cabal, URGENT ð¤¬coder 3 TATE arrested on made up charges the CABAL are after him GOD BLESS TATE exsposing the CABAL",Cabal_37,,,0,0,0,Y,0.333,0.955,0.532,0.93,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,"""Globalist Cabal"""
Cabal,12/16/2022,,Anonymous,,GETTR,https://www.gettr.com/comment/c1mucrk1c39,To all able Men of the USA ðºð¸ the world is watching time to take down your Corrupt Government all in bed with the Globalists cabal,Cabal_38,,,0,0,0,Y,0.32,0.953,0.501,0.41,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,
Cabal,1/29/2023,,Anonymous,,GETTR,https://www.gettr.com/comment/c1q9mnyae51,AWESOME GOD KNOWS WTP WHO ARE UNVACCINATED SPECICIFALLY NOT WITH INSANE MRNA EXPERIMENTAL POISONOUS INJECTION-BUT LIKELY EXPOSED IN OTHER CRIMINAL WAYS VIA SPIKE GRAPHENE OXIDE SHEDDING HAVE DESPERATELY TRIED TO WARN HUMANITY EARY ON =BEFORE THE VACCINE-BECAUSE WE KNEW ABOUT WEF FAUCI EVIL GENOCIDE DEPOPULATION AGENDAS STRAIGHT OUT OF THEIR OWN EVIL MOUTHS!! Seriously the eradication via Nuremberg Of WEF/Fauci/Cabal is the only way to save humanity-this monster should not be walking free if we had a real military real intelligence agency and a real patriotic country!! that includes the vaccine murdering Cabal Bill Gates and his dumping of chemicals via chemtrails the explosion of attacks on organic food processing plants & holistic doctors WTP MUST ACT NOW!,Cabal_39,,,0,0,0,Y,0.331,0.943,0.496,0.965,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,
Cabal,01/12/23,,Anonymous,,GETTR,https://www.gettr.com/comment/c1p19s8c6a8,"Sounds like the Clinton Foundation 2.0.
 
 Washington DC is a Mafia style ran Gubment. There all corrupt as hell. 
 
 DISMANTLE the whole CABAL....",Cabal_40,,,2,0,0,N,0.258,0.932,0.512,0.971,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Cabal,1/19/2023,,Anonymous,,GETTR,https://www.gettr.com/comment/c1pipu698e1,This evil War criminal Blair needs put on trial with the WEF globalists cabal enemies of humanity,Cabal_41,,,2,0,0,Y,0.296,0.922,0.534,0.913,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,"""Globalist Cabal"""
Cabal,1/13/2023,,Anonymous,,GETTR,https://www.gettr.com/post/p24vss176a1,"CLEARLY GETTR IS GETTING CENSOR HAPPY AND IS BECOMING VERY ANTI FREE SPEECH .... THEY ARE YANKING DOWN POSTS AND MY RESPONSE TO POSTS AS FAST AS I CAN PUT THEM UP !!! I WAS RESPONDING TO A POST THAT WAS QUICKLY PULLED DOWN SHOWING THE CABAL !!! I WAS SIMPLY STATING THAT JOE BIDEN , KAMAL TOE HARRIS , NANCY PELOSI , CHUCK SCHUMME , FEINSTEIN , NEWSOME , ALL THE MUSLIMS ( OBAMA , HOLDER , UMMA , OMAR , ELLISON , PRESLEY ) , WHITMER , KEMP , SCHIFF , HILLARY AND BILL , HOBBS NEED TO TO BE EXECUTED FOR THEIR TREASONOUS ACTIONS AGAINST "" WE HE PEOPLE "" AND THE UNITED STATES OF ðºð¸ AMERICA ðºð¸ !!!!! TAKE BACK AMERICA ðºð¸ REINSTATE OUR RIGHTFUL PRESIDENT DONALD J TRUMP IMMEDIATELY ðºð¸ WAR IS UPON US PATRIOTS ðºð¸ CHINA IS ALREADY SHUTTING DOWN POWER PLANTS , TRANSPORT, TEL COMM",Cabal_42,,,5,1,2,N,0.221,0.914,0.461,0.97,0,0,1,0,0,,coder 1,coder 2,coder 3 ,
Cabal,1/20/2023,,Anonymous,,GETTR,https://www.gettr.com/post/p25pssi2ac9,"Dann fragt euch mal wohin und in was die Billionen der ""Weltraum-Programme"" die letzten Jahrzehnte hingeflossen sind ?
 #dumbsandunderground #cloninglabs #blackmoney #thegreatawakening #ncswic #crimesagainstchildren #pizzagate #nxivmsexcult #sextrafficking #satanicrituals #pedowood #cabal #pedophilia #pedovores #torture #childabuse #organharvesting #cannibalism #adrenochrome #redshoesclub #pope #vatikan #royalsfamily #disney #epstein #maxwell #gettymuseum #playboymansion #clintoncrimefamily #johnofgod #jimmysavile #alefantis #rkelly #billcosby #harveyweinstein #frazzledrip #hunterbidenlaptop #lgbtqiacult #grooming #crimesagainsthumanity #saveourchildren #pureevil",Cabal_43,,,0,0,0,Y,0.506,0.909,0.976,0.955,1,0,1,0,0,1,coder 1,coder 2,coder 3 ,"Translation: ""Then ask yourself where and into what the trillions of ""space programs"" have flowed in the last decades?"""
Cabal,1/27/2023,,Anonymous,,GETTR,https://www.gettr.com/comment/c1q34c5747f,How bout getting these Bastards arrested for conducting a Cabal against the American People you idiots â¼ï¸ð¡ Weâre sick of these Traitors and nothing being done to them â¼ï¸â¼ï¸ð¡ð¡,Cabal_44,,,1,1,0,N,0.321,0.904,0.508,0.898,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Cabal,01/07/23,,Anonymous,,GETTR,https://www.gettr.com/comment/c1ohqo2cfe7,Time is here for the cabal and evil to be put to death,Cabal_45,,,2,0,0,N,0.306,0.902,0.504,0.965,0,0,0,0,0,,coder 1,coder 2,coder 3 ,Unclear Context 
Cabal,12/01/22,,Anonymous,,GETTR,https://www.gettr.com/comment/c1lp2jg7e74,Satanic Luciferian Evil Cabal all needs to be extinct ð¥,Cabal_46,,,3,0,0,Y,0.275,0.898,0.471,0.975,0,0,0,0,0,"1, 8",coder 1,coder 2,coder 3 ,"""Satanic Luciferian Evil Cabal ""; Jews as servants of Satan"
Cabal,1/20/2023,,Anonymous,,GETTR,https://www.gettr.com/post/p25oznr71fe,"@SpeakerMcCarthy @Jim_Jordan @RepMattGaetz
 @RepStefanik
 Itâs time to declare war on Mexico for their aiding the illegal immigrants invasion of America. And for the endless supply of deadly drugs that are being smuggled into America that is killing thousands of Americans, including non-combatants women and children. 
 We have to be able to walk and chew gym. There are many fronts, at home and abroad, declaring war on Mexico lets us use the force of our military to target and eliminate the cartels. And yes, we have to get rid of this illegitimate admin and the Pelosi cabal!",Cabal_47,,,0,0,0,N,0.337,0.898,0.518,0.921,0,0,0,0,1,,coder 1,coder 2,coder 3 ,
Cabal,1/24/2023,,Anonymous,,GETTR,https://www.gettr.com/comment/c1pwlih4f21,"The deep state cabal, NWO TRAITORS is are unlawful terrorist organizations doing harm to our Republic, and we should start conversations citing and executing them, driving this evil from the face of the fucking earth!",Cabal_48,,,0,0,0,Y,0.247,0.893,0.487,0.97,0,0,0,0,0,1,coder 1,coder 2,coder 3 ," ""NWO TRAITORS"" , "" deep state cabal"" "
Cabal,12/26/2022,,Anonymous,,GETTR,https://www.gettr.com/comment/c1nlect062f,WE MAY HAVE TO SHOOT OUR WAY OUT......OF THIS NWO CABAL TAKE OVER OF OUR COUNTRY...,Cabal_49,,,2,1,1,Y,0.27,0.891,0.458,0.976,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,"""NWO Cabal takeover"""
Cabal,12/24/2022,,Anonymous,,Disqus,https://wccftech.com/microsoft-rallies-against-ftc-on-actiblizzard-dispute-says-procedures-violate-5th-amendment-due-process-right/#comment-6073651222,"Totaly right!
 To hell with FTC - ass kissing Anticonsumer Sony!
 These POS scumbags trash shouldent be allowed to exist! Wipe em all out MS!
 Time for justice to prevail!
 And if you could erase all that POS woke propaganda, that are brainwashing the kids = a real win for human kind, and a double win win, if you could Nuke the Globalist cabal to hell! Make it happen!",Cabal_50,,,1,0,NA,Y,0.482,0.925,0.57,0.977,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,
